bookID,title,authors,average_rating,numpages,isbn13,language_code,isbn,ratings_count,text_reviews_count,publication_date,publisher
21,A Short History of Nearly Everything,Bill Bryson,4.21,544,9.78E+12,eng,076790818X,248558,9396,9/14/2004,Broadway Books
22,Bill Bryson's African Diary,Bill Bryson,3.44,55,9.78E+12,eng,767915062,7270,499,12-03-2002,Broadway Books
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,256,9.78E+12,eng,767910435,2088,131,9/14/2004,Broadway Books
24,In a Sunburned Country,Bill Bryson,4.07,335,9.78E+12,eng,767903862,72451,4245,5/15/2001,Broadway Books
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,304,9.78E+12,eng,076790382X,49240,2211,6/28/2000,Broadway Books
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,299,9.78E+12,eng,60920084,45712,2257,8/28/1990,William Morrow Paperbacks
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86,254,9.78E+12,eng,380713802,48701,2238,3/28/1993,William Morrow Paperbacks
28,Notes from a Small Island,Bill Bryson,3.91,324,9.78E+12,eng,380727501,80609,3301,5/28/1997,William Morrow Paperbacks
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,270,9.78E+12,eng,380715430,28489,2085,9/28/1991,William Morrow Paperbacks
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,1728,9.78E+12,eng,345538374,101233,1550,9/25/2012,Ballantine Books
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,1184,9.78E+12,eng,618517650,1710,91,10/21/2004,Houghton Mifflin Harcourt
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,398,9.78E+12,eng,618346252,2128944,13670,09-05-2003,Houghton Mifflin Harcourt
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,1216,9.78E+12,en-US,618260587,1618,140,10-01-2002,Houghton Mifflin Harcourt
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,218,9.78E+12,eng,618391002,19822,46,11-05-2003,Houghton Mifflin Harcourt
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,224,9.78E+12,eng,618510826,359,6,11/15/2004,Houghton Mifflin Harcourt
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,558,9.78E+12,eng,097669400X,1430,59,7/28/2005,Pragmatic Bookshelf
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,208,9.78E+12,eng,689840926,270244,12017,04-01-2000,Atheneum Books for Young Readers: Richard Jackson Books
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4,48,9.78E+12,eng,1557344493,36,2,8/28/1994,Teacher Created Resources
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,144,9.78E+12,eng,385326505,2067,334,1/23/2001,Delacorte Press
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,56,9.78E+12,eng,1575606240,6,0,06-10-2003,Cherry Lane Music Company
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,228,9.78E+12,en-US,1595580271,99,16,11-01-2005,The New Press
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,304,9.78E+12,eng,1595962808,167,4,11-01-2005,Changeling Press
58,Changeling (Changeling  #1),Delia Sherman,3.6,256,9.78E+12,eng,670059676,978,111,8/17/2006,Viking Juvenile
59,The Changeling Sea,Patricia A. McKillip,4.06,137,9.78E+12,eng,141312629,4454,302,4/14/2003,Firebird
61,The Changeling,Zilpha Keatley Snyder,4.17,228,9.78E+12,eng,595321801,1176,96,06-08-2004,iUniverse
63,The Changeling,Kate Horsley,3.55,339,9.78E+12,eng,1590301943,301,43,04-12-2005,Shambhala
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98,369,9.78E+12,eng,449146979,345,12,8/28/1990,Ivy Books
67,The Known World,Edward P. Jones,3.83,388,9.78E+12,eng,61159174,29686,2626,8/29/2006,Amistad
68,The Known World,Edward P. Jones/Kevin R. Free,3.83,14,9.78E+12,en-US,006076273X,55,12,6/15/2004,HarperAudio
69,The Known World,Edward P. Jones,3.83,576,9.78E+12,eng,60749911,22,3,6/15/2004,Harper
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,334,9.78E+12,eng,273704745,1456,82,5/15/2006,FT Press
72,Artesia: Adventures in the Known World,Mark Smylie,4.13,352,9.78E+12,eng,1932386106,52,4,12/14/2005,Archaia
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,416,9.78E+12,eng,374517193,562,37,06-01-1982,Farrar  Straus and Giroux
75,Uncommon Carriers,John McPhee,3.95,248,9.78E+12,en-US,374280398,1630,203,5/16/2006,Farrar Straus Giroux
76,Heirs of General Practice,John McPhee,4.17,128,9.78E+12,eng,374519749,268,22,04-01-1986,Farrar  Straus and Giroux
77,The Control of Nature,John McPhee,4.24,288,9.78E+12,en-US,374522596,3498,305,09-01-1990,Farrar  Straus and Giroux
78,Annals of the Former World,John McPhee,4.34,720,9.78E+12,eng,374518734,3115,228,01-06-1999,Farrar  Straus and Giroux
79,Coming Into the Country,John McPhee,4.22,448,9.78E+12,eng,374522871,5704,261,04-01-1991,Farrar  Straus and Giroux
80,La Place de la Concorde Suisse,John McPhee,3.92,160,9.78E+12,fre,374519323,698,52,04-01-1994,Farrar  Straus and Giroux
81,Giving Good Weight,John McPhee,4.23,288,9.78E+12,eng,374516006,542,36,04-01-1994,Farrar  Straus and Giroux
83,Rising from the Plains,John McPhee,4.23,208,9.78E+12,eng,374520658,1341,98,11-01-1987,Farrar  Straus and Giroux
85,The Heidi Chronicles,Wendy Wasserstein,3.75,81,9.78E+12,eng,822205106,1423,70,03-01-2002,Dramatists Play Service
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,249,9.78E+12,eng,679734996,2766,64,07-02-1991,Vintage
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,138,9.78E+12,eng,1596670231,31,1,3/29/2006,Routledge
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,128,9.78E+12,en-US,1581807740,62,4,3/14/2006,North Light Books
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,192,9.78E+12,eng,800793617,860,53,09-01-2003,Chosen Books
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,108,9.78E+12,en-US,871202867,77,2,1/28/1997,Association for Supervision & Curriculum Development
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,352,9.78E+12,eng,753454947,153317,2257,11/15/2002,Kingfisher
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,192,9.78E+12,eng,871209993,55,5,11/15/2004,ASCD
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,192,9.78E+12,eng,1852402873,34,6,4/28/2003,Sovereign World
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,832,9.78E+12,eng,761129588,11797,659,10/16/2003,Workman Publishing Company
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,123,9.78E+12,eng,972016414,34,8,05-10-2004,One Hour Entertainment
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,128,9.78E+12,en-US,1581805632,78,4,8/19/2004,North Light Books
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,423,9.78E+12,eng,441294677,2785,166,6/15/1987,Ace Books
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,9.78E+12,eng,441102670,38778,568,07-01-1987,Ace Books
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,9.78E+12,eng,441172695,97494,2359,7/15/1987,Ace Books
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,9.78E+12,en-US,765306476,784,21,07-01-2004,Tor Books
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,9.78E+12,eng,399128980,272,20,4/16/1984,Putnam
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,9.78E+12,eng,765353709,4789,83,8/29/2006,Tor Science Fiction
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,9.78E+12,eng,441328008,45388,644,8/15/1987,Ace Books
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,9.78E+12,eng,618212906,26153,102,06-12-2002,Houghton Mifflin Harcourt
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,9.78E+12,eng,034541005X,69167,4551,9/29/1996,Ballantine Books
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291,9.78E+12,eng,385732546,45,13,9/13/2005,Delacorte Books for Young Readers
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256,9.78E+12,en-US,785260056,16,1,11-01-2004,Thomas Nelson
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,9.78E+12,eng,471780936,174,16,5/19/2006,Wiley
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,240,9.78E+12,eng,325001537,10,0,02-07-2000,Heinemann Drama
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,9.78E+12,eng,006076287X,76,9,05-03-2005,William Morrow Paperbacks
133,eBay for Dummies,Marsha Collier,3.5,386,9.78E+12,eng,470045299,111,9,10/30/2006,Wiley
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,260,9.78E+12,eng,72262788,24,0,1/24/2006,McGraw-Hill
137,Starting an eBay Business for Dummies,Marsha Collier,3.55,384,9.78E+12,eng,764569244,55,4,9/17/2004,Wiley
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,260,9.78E+12,eng,471933821,9,0,06-06-2006,Wiley
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,391,9.78E+12,en-US,764559915,22,1,5/31/2004,Wiley
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,864,9.78E+12,en-US,764584383,17,3,4/25/2005,Wiley
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,9.78E+12,eng,596523696,166,4,7/29/2006,O'Reilly Media
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,9.78E+12,eng,806523492,50,5,05-03-2005,Citadel
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,9.78E+12,eng,806525363,13,2,05-03-2005,Citadel
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,514,9.78E+12,eng,596527314,64,1,01-01-2007,O'Reilly Media
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,9.78E+12,eng,143035002,16643,1851,5/31/2004,Penguin Classics
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,9.78E+12,eng,451528611,109420,5696,11-05-2002,Signet
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,9.78E+12,eng,140449175,2904,309,1/30/2003,Penguin Books
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,9.78E+12,eng,822001837,16,3,11/26/1965,Cliffs Notes
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9.78E+12,eng,1593080271,9564,726,07-01-2003,Barnes & Noble Classics
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,9.78E+12,eng,486437965,474,72,11/23/2004,Dover Publications
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,9.78E+12,eng,1593081774,303,48,8/26/2004,Barnes & Noble
159,Dinner with Anna Karenina,Gloria Goldreich,2.99,360,9.78E+12,eng,778322270,411,65,1/28/2006,Mira Books
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,9.78E+12,eng,521313252,1204,33,11/26/1987,Cambridge University Press
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,9.78E+12,eng,140183957,3429,279,07-03-1990,Penguin Books
163,The Untouchable,John Banville,3.95,367,9.78E+12,eng,679767479,2163,216,6/30/1998,Vintage
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,9.78E+12,eng,1568491980,613,31,02-01-1996,Buccaneer Books
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,9.78E+12,en-US,743270797,308,40,9/27/2005,Scribner
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,100,9.78E+12,eng,932863051,10,0,1/28/1995,Clarity Press
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,224,9.78E+12,eng,742508803,16,4,12/20/2000,Rowman & Littlefield Publishers
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,216,9.78E+12,eng,205358624,10,0,9/22/2003,Pearson
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4,48,9.78E+12,eng,1557344035,17,0,9/28/1991,Teacher Created Resources
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01,360,9.78E+12,eng,380720442,1035,23,10-01-1994,Harper Perennial
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4,250,9.78E+12,eng,821925326,36,6,05-01-2002,EMC/Paradigm Publishing
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,32,9.78E+12,eng,043927169X,15,0,01-01-2002,Teaching Resources
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4,205,9.78E+12,spa,606105263,6,1,06-01-1984,Turtleback Books
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,9.78E+12,eng,751506435,376,17,06-01-1994,Little  Brown Book Group
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352,9.78E+12,eng,006078671X,3086,237,01-03-2006,William Morrow
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,320,9.78E+12,en-US,743499344,352,44,11-01-2005,Atria Books
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,331,9.78E+12,eng,765313405,9852,633,03-07-2006,Tor Books
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,244,9.78E+12,eng,1400032490,821,78,08-10-2004,Vintage Crime/Black Lizard
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,215,9.78E+12,eng,1400032482,731,72,03-08-2005,Vintage Crime/Black Lizard
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191,9.78E+12,eng,1400032466,2897,178,08-10-2004,Vintage Crime/Black Lizard
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,9.78E+12,eng,679732527,98,11,10-03-1990,Vintage
231,I am Charlotte Simmons,Tom Wolfe,3.42,738,9.78E+12,eng,312424442,20888,1688,8/30/2005,Picador USA
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,48,9.78E+12,eng,806930772,66,19,10-01-2001,Sterling
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,9.78E+12,eng,140366601,81,6,10-03-1996,Puffin
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217,9.78E+12,eng,811201120,981,52,02-01-1964,New Directions Publishing
247,Quiet Days in Clichy,Henry Miller,3.69,154,9.78E+12,eng,080213016X,3381,141,1/13/1994,Grove Press
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,318,9.78E+12,eng,802131786,53206,2376,01-06-1994,Grove Press
250,Tropic of Capricorn,Henry Miller,3.78,348,9.78E+12,eng,802151825,14872,459,1/13/1994,Grove Press
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,316,9.78E+12,eng,802151787,3261,58,1/13/1994,Grove Press
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,9.78E+12,eng,802151809,7805,251,01-12-1994,Grove Press
253,The Air-Conditioned Nightmare,Henry Miller,3.83,292,9.78E+12,eng,811201066,2699,142,1/17/1970,New Directions
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78,797,9.78E+12,eng,141439637,61640,1951,9/30/2003,Penguin Classics
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,635,9.78E+12,eng,1593080964,392,41,1/16/2004,Barnes  Noble Classics
277,Writing,Marguerite Duras,3.75,91,9.78E+12,eng,1571290532,778,44,05-06-1999,Brookline Books
278,The War,Marguerite Duras/Barbara Bray,3.85,192,9.78E+12,eng,1565842219,963,65,08-01-1994,The New Press
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,181,9.78E+12,en-US,394743040,2057,128,03-12-1986,Pantheon
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,178,9.78E+12,eng,1851681825,203,8,07-01-1999,One World (UK)
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,464,9.78E+12,eng,156656249X,35,2,04-01-1998,Interlink Publishing Group
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,102,9.78E+12,eng,014019553X,328,16,01-01-1998,Penguin Books
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216,9.78E+12,eng,394431243,1308,82,2/21/1995,Knopf
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,132,9.78E+12,eng,806501901,6432,517,03-03-2003,Citadel
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100,9.78E+12,eng,067943920X,3015,217,6/14/2011,Knopf
295,Treasure Island,Robert Louis Stevenson,3.83,311,9.78E+12,eng,753453800,318753,6734,9/15/2001,Kingfisher
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,213,9.78E+12,en-US,1402714572,420,42,10-01-2004,Sterling Children's Books
297,Treasure Island,Robert Louis Stevenson,3.83,245,9.78E+12,eng,1416500294,5967,276,06-01-2005,Simon & Schuster
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,64,9.78E+12,eng,689854684,104,14,07-01-2003,Atheneum Books for Young Readers
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,272,9.78E+12,en-US,517221144,56,4,09-03-2002,Gramercy Books
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,232,9.78E+12,eng,1577658051,91,16,1/31/2006,Abdo Publishing Company
313,100 Years of Lynchings,Ralph Ginzburg,4.61,270,9.78E+12,eng,933121180,88,4,11/22/1996,Black Classic Press
324,Cien años de soledad,Gabriel García Márquez,4.07,448,9.78E+12,spa,785950109,63,7,01-01-1990,French & European
330,On Beyond Zebra!,Dr. Seuss,4.04,64,9.78E+12,eng,394800842,2815,164,09-12-1955,Random House Books for Young Readers
332,The Wedding Clause,Debbie Raleigh,3.6,256,9.78E+12,eng,821778250,95,13,06-07-2005,Zebra
333,The Zebra Wall,Kevin Henkes,3.44,147,9.78E+12,eng,60733039,217,24,2/15/2005,Greenwillow Books
337,El perfume: Historia de un asesino,Patrick Süskind,4.02,239,9.79E+12,spa,8432216062,4136,255,06-01-2002,Booket
348,The Door Into Summer,Robert A. Heinlein,4.01,304,9.78E+12,eng,345413997,17232,649,6/17/1997,Del Rey
350,Stranger in a Strange Land,Robert A. Heinlein,3.92,528,9.78E+12,eng,441788386,251872,6241,10-01-1991,Ace
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,434,9.78E+12,en-US,441748600,10293,193,06-01-1988,Ace Books
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78,439,9.78E+12,en-US,345316509,15970,438,10-12-1985,Del Rey
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,256,9.78E+12,eng,765314932,6898,200,08-08-2006,Tor Books
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,307,9.78E+12,en-US,671742515,67803,1401,2/15/1991,Pocket Books
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,298,9.78E+12,eng,345455290,22091,746,4/26/2005,Del Rey
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,368,9.78E+12,eng,345476514,2623,49,12/27/2005,Del Rey
367,Douglas Adams's Starship Titanic,Terry Jones,3.6,256,9.78E+12,eng,345368436,885,84,10/27/1998,Ballantine Books
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,336,9.78E+12,eng,1417622857,5,0,07-01-2003,Turtleback Books
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,72,9.78E+12,eng,573650969,100,13,01-12-2011,Samuel French  Inc.
385,On Bullshit,Harry G. Frankfurt,3.57,67,9.78E+12,eng,691122946,9358,995,1/30/2005,Princeton University Press
386,Another Bullshit Night in Suck City,Nick Flynn,3.78,347,9.78E+12,eng,393329402,9318,907,09-12-2005,W. W. Norton & Company
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,317,9.78E+12,en-US,671867423,120,15,06-12-1993,Simon & Schuster
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,32,9.78E+12,eng,395883970,5239,76,02-02-1998,HMH Books for Young Readers
399,Underworld,Don DeLillo,3.92,827,9.78E+12,eng,684848155,1505,175,07-09-1998,Scribner
400,Libra,Don DeLillo,3.99,480,9.78E+12,eng,140156046,11857,564,05-01-1991,Penguin
403,Americana,Don DeLillo,3.43,377,9.78E+12,eng,140119485,393,55,07-06-1989,Penguin Books
404,Running Dog,Don DeLillo,3.43,256,9.78E+12,eng,679722947,1356,72,7/17/1989,Vintage Contemporaries
406,Cosmopolis,Don DeLillo,3.22,224,9.78E+12,eng,743244257,460,41,04-06-2004,Scribner
407,Great Jones Street,Don DeLillo,3.48,272,9.78E+12,eng,140179178,2492,145,01-01-1994,Penguin Books
408,The Names,Don DeLillo,3.64,339,9.78E+12,eng,679722955,3100,212,7/17/1989,Vintage
409,Against the Day,Thomas Pynchon,4.13,1085,9.78E+12,eng,159420120X,5296,587,11/21/2006,Penguin Press
410,V.,Thomas Pynchon,3.96,547,9.78E+12,eng,60930217,1415,177,07-05-2005,Harper Perennial Modern Classics
411,The Crying of Lot 49,Thomas Pynchon,3.69,152,9.78E+12,eng,60931671,2161,230,04-01-1999,Harper Perennial
412,Gravity's Rainbow,Thomas Pynchon,4.01,784,9.78E+12,eng,140283382,762,213,01-01-2000,Penguin Books
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,773,9.78E+12,eng,312423209,8086,602,01-03-2004,Picador USA
414,Vineland,Thomas Pynchon,3.69,385,9.78E+12,en-US,141180633,702,69,09-01-1997,Penguin Classics
415,Gravity's Rainbow,Thomas Pynchon,4.01,776,9.78E+12,eng,143039946,29764,2164,10/31/2006,Penguin Books
416,Slow Learner: Early Stories,Thomas Pynchon,3.5,193,9.78E+12,eng,316724432,334,34,4/30/1985,Back Bay Books
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,352,9.78E+12,eng,140189300,2473,220,8/29/1996,Penguin Classics
420,The Year of Magical Thinking,Joan Didion,3.89,227,9.78E+12,en-US,140004314X,2656,336,10-04-2005,Knopf Publishing Group
421,The White Album,Joan Didion,4.17,222,9.78E+12,eng,374522219,11889,738,10-01-1990,Farrar Straus Giroux
422,A Book of Common Prayer,Joan Didion,3.8,272,9.78E+12,eng,679754865,2962,255,04-11-1995,Vintage International
423,Where I Was From,Joan Didion,3.86,240,9.78E+12,eng,679752862,2842,292,9/14/2004,Vintage
424,Slouching Towards Bethlehem,Joan Didion,4.21,238,9.78E+12,eng,374521727,26934,1825,10-01-1990,Farrar Straus Giroux
425,Democracy,Joan Didion,3.81,234,9.78E+12,en-US,679754857,2070,169,4/25/1995,Vintage International
